filtre;APP_Libelle_activite_etablissement;APP_Libelle_etablissement;ods_adresse;Code_postal;Libelle_commune;Synthese_eval_sanit;geores;SIRET;Date_inspection;Numero_inspection;Agrement;ods_type_activite
Restaurant;Restaurant;LE CHERFA;198 RUE DES PYRENEES;75020;Paris 20e  Arrondissement;Satisfaisant;48.864005, 2.399254;38768102600010;2019-06-21T02:00:00+02:00;19-060909-1;;Autres
Restaurant;Restaurant;F.S.EC.;3807 RTE DU MONT VENTOUX;84410;Bédoin;Satisfaisant;44.120433, 5.223403;84973435500019;2019-07-30T02:00:00+02:00;19-069345-1;;Autres
Restaurant;Restaurant;NECTAR DE VIGNES;26 BOULEVARD DES BATIGNOLLES;75017;Paris 17e  Arrondissement;Satisfaisant;48.883157, 2.324612;78874915800010;2018-09-05T02:00:00+02:00;18-071004-1;;Autres
Restaurant;Restaurant;LE PRINCE KEBAB;9 AVENUE D ARCHES;08000;Charleville-Mézières;A améliorer;49.761261, 4.718952;81831581400017;2019-03-26T01:00:00+01:00;19-031858-1;;Autres
Restaurant;Restaurant;LE PASSAGE;LE PASSAGE;56170;Quiberon;Satisfaisant;47.4935, -3.136288;80096846300011;2018-08-30T02:00:00+02:00;18-067439-1;;Autres
Restaurant;Restaurant;LA REMONTEE;6193 RTE DE LA SAMBUY;74210;Faverges-Seythenex;A améliorer;45.713386, 6.275143;82989897200015;2019-01-30T01:00:00+01:00;18-095912-1;;Autres
Restaurant;Restaurant;DI PIU;DI PIU;06300;Nice;Satisfaisant;43.712743, 7.253866;75071024600026;2018-11-27T01:00:00+01:00;18-087501-1;;Autres
Restaurant;Restaurant;LA CHARPINIERE;LOT LA CHARPINIERE;42330;Saint-Galmier;Satisfaisant;45.58814, 4.310774;53504756700016;2018-12-04T01:00:00+01:00;18-089021-1;;Autres
Restaurant;Restaurant;ASSOCIE INVEST ROUBAIX;40 GRANDE RUE;59100;Roubaix;Très satisfaisant;50.693758, 3.186613;82150959300017;2019-06-12T02:00:00+02:00;19-052188-1;;Autres
Restaurant;Restaurant;MEGA KEBAB;24 AV DE LA DIVISION LECLERC;50200;Coutances;Très satisfaisant;49.055098, -1.439791;84125854400011;2018-09-21T02:00:00+02:00;18-029688-1;;Autres
Restaurant;Restaurant;VO DE VF;14 BD FRED SCAMARONI;20000;Ajaccio;Très satisfaisant;41.915121, 8.726327;39176513800022;2018-12-19T01:00:00+01:00;18-092649-1;;Autres
Restaurant;Restaurant;ZHANG HUAYU;29 AV PRINCIPALE;97450;Saint-Louis;Satisfaisant;-21.291624, 55.412683;82470596600011;2019-02-26T01:00:00+01:00;19-037406-1;;Autres
Restaurant;Restaurant;COSMOS CAFE;53 RUE DE LA ROQUETTE;75011;Paris 11e  Arrondissement;Satisfaisant;48.855871, 2.375136;83838652200018;2019-04-10T02:00:00+02:00;19-035177-1;;Autres
Restaurant;Restaurant;DON CORLEONE;13 RUE LE CORBUSIER;63800;Cournon-d'Auvergne;Satisfaisant;45.735764, 3.178597;49886952800022;2019-04-02T02:00:00+02:00;19-032797-1;;Autres
Restaurant;Restaurant;LA ROUTE DU RHUM;97110 POINT A PITRE;97110;Pointe-à-Pitre;Satisfaisant;16.23586, -61.532033;43797802600015;2019-06-27T02:00:00+02:00;19-058851-1;;Autres
Restaurant;Restaurant;LE CASTIGLIONE;233 RUE SAINT HONORE;75001;Paris 1er Arrondissement;Très satisfaisant;48.866313, 2.328977;33529528300014;2019-04-09T02:00:00+02:00;19-034700-1;;Autres
Restaurant;Restaurant;LE PETIT DAKAR;6 RUE ELZEVIR;75003;Paris 3e  Arrondissement;Satisfaisant;48.858083, 2.361321;51034725500018;2019-01-29T01:00:00+01:00;19-007524-1;;Autres
Restaurant;Restaurant;LE ZEBRE;38 RUE LEPIC;75018;Paris 18e  Arrondissement;Très satisfaisant;48.885988, 2.334698;39243912100030;2018-10-29T01:00:00+01:00;18-083436-1;;Autres
Restaurant;Restaurant;FLUNCH;ROUTE DE LONGEVILLE;55000;Savonnières-devant-Bar;Satisfaisant;48.754021, 5.179114;32077251002168;2019-05-21T02:00:00+02:00;18-097425-1;;Autres
Restaurant;Restaurant;SUBWAY;Quai du prado;18000;Bourges;Satisfaisant;47.082905, 2.387262;50184745300013;2018-10-04T02:00:00+02:00;18-076039-1;;Autres
Restaurant;Restaurant;CHEZ NOUS;25 RUE LAFAURIE;09000;Foix;Très satisfaisant;42.965078, 1.605938;84037557000016;2019-02-26T01:00:00+01:00;19-019408-1;;Autres
Restaurant;Restaurant;A.LOCMANT;41 RUE GENERAL FAIDHERBE;76600;Le Havre;Très satisfaisant;49.487604, 0.113052;84855007500016;2019-06-14T02:00:00+02:00;19-056272-1;;Autres
